ID,Phase,Week,Feature,Description,Priority,Effort (days),Dependencies,Acceptance Criteria,Status,Evidence / Notes,Primary User,Role Detail,Aannemer Priority,Contractor-First Phase,Aannemer Usage
1,Foundation,1,Repo & tech stack setup,"Initialize a monorepo or split repos for backend (Node.js/TypeScript or Python/FastAPI) and frontend (Next.js or SvelteKit). Set up linting, formatting, type checking, and a CI/CD pipeline that builds, tests, and deploys to staging on every push to main. Use boring, well-supported tools — this is not the place for novelty. Tip: configure environment variables and secrets management from day one (e.g., Doppler, Infisical, or AWS Secrets Manager) so you never commit credentials.",P0,1,-,Code is in version control; pushing to main triggers a clean staging deploy with tests passing.,Done,pnpm + Turborepo monorepo; FastAPI Python API (uv); Next.js portal + web; ruff/mypy/pytest + ESLint/tsc/vitest. CI/CD pipeline NOT yet wired (no .github/workflows verified).,Platform,Infrastructure — no direct user interaction,P0-AN,Phase 1,Infrastructure — needed for any user
2,Foundation,1,EU-region hosting,"Provision compute and storage strictly in EU regions. Options: Hetzner Cloud (cheap, German), AWS Frankfurt (stable, expensive), Scaleway (Paris/Amsterdam), or Azure Netherlands. This is non-negotiable for Dutch B2B compliance buyers — many will reject US-hosted tools outright during procurement review. Document region selection clearly so it can be cited in your DPA template later.",P0,1,1,App reachable on EU-hosted domain with valid HTTPS; region clearly documented in infra config.,Not Started,No production infra/IaC found. Local docker-compose only.,Platform,Infrastructure — EU hosting required for Dutch B2B trust,P0-AN,Phase 1,Infrastructure — EU hosting required for Dutch aannemer trust
3,Foundation,1,PostgreSQL database,"Provision managed PostgreSQL in the same EU region as your app. Enable point-in-time recovery and daily backups out of the box. Use a migration tool (Prisma Migrate, Alembic, or similar) — never modify schema by hand in production. Postgres is non-negotiable here because of relational integrity, JSONB columns for flexible config, full-text search, and a deep ecosystem of tools for audit logging and RLS (row-level security) you may want later.",P0,0.5,2,"DB reachable from app, connection pool tuned, migrations apply cleanly, daily backups verified.",Done (dev),Postgres 16 via docker-compose (port 5434). Alembic migrations in apps/api/alembic/versions. RLS implemented (bim_app role + GUCs in tenancy.py). Production backups not yet configured.,Platform,Infrastructure — database layer,P0-AN,Phase 1,Infrastructure — database
4,Foundation,1,Auth integration,"Integrate Clerk, Supabase Auth, or Auth0 for email/password and magic-link login. Do NOT roll your own — secure auth is a tarpit, and your buyers will eventually require SSO/SAML which managed providers handle for free. Configure session lifetimes appropriate for B2B (e.g. 14-day refresh, 1-hour access tokens), enable rate limiting on login endpoints, and turn on breach-detection features. Email verification on signup is mandatory; magic links are friendlier than passwords for the kwaliteitsborger persona.",P0,1,1,"User can sign up, verify email, log in, log out, and reset password; sessions persist across reloads.",Done,"FastAPI Users library: signup, email verify, login, logout (JWT blocklist via Redis), refresh token, password reset. Rate limits: login 5/min, register 3/h, refresh 10/min, forgot 3/h. Tests in apps/api/tests/. NOTE: rolled with library not Clerk/Auth0 — SSO/SAML deferred.",Kwaliteitsborger + Aannemer,"Both sign up, log in, manage accounts",P0-AN,Phase 1,"Aannemer signs up, logs in, manages their account"
5,Foundation,1,UI shell with Dutch i18n scaffolding,"Build the base layout: navigation, sidebar, top bar, project switcher placeholder. Use Tailwind + shadcn/ui or similar for fast, accessible components. Set up i18n keys from day one (next-intl or react-i18next), default to Dutch, but never hardcode strings. Even though MVP is Dutch-only, the scaffolding makes Belgian/UK expansion a config change later. Establish design tokens (colors, spacing, typography) early so the product looks coherent.",P0,1,1,"App renders in Dutch with placeholder pages for projects, settings, and auth flows; design tokens documented.",Done,"Next.js portal (port 3001) with next-intl, en+nl message catalogs, @bimstitch/i18n package (defaultLocale='nl'), @bimstitch/ui components, @bimstitch/design-tokens, @bimstitch/tailwind-config. Sidebar + dashboard layout exist. Default locale is 'nl' (packages/i18n/src/common.ts).",Kwaliteitsborger + Aannemer,"Both see Dutch UI — KB plans, Aannemer manages",P0-AN,Phase 1,Aannemer sees Dutch UI with project navigation
6,Project Shell (single-user),2,Membership scaffold,"Create a `project_members` table linking users to projects with a role column. When a user creates a project, they're automatically inserted as the only member with role 'owner'. CRITICAL: every API endpoint that reads or writes project data must filter by membership from day one — even though only one user uses each project for the first 8 weeks. This avoids a painful permissions retrofit when multi-user lands in Week 10. Implement as middleware so it's applied consistently.",P0,0.5,"3,4","Project creation auto-inserts creator as owner; ALL project reads/writes filtered through membership table; tests verify a non-member sees a 404, not a 403.",Done,"project_members table (owner/editor/viewer), single-owner constraint, _require_membership in routers, RLS policies enforce tenant isolation. Tests: test_project_members.py, test_projects_rls.py.",Kwaliteitsborger + Aannemer,Both are project members with different roles,P0-AN,Phase 1,"Aannemer is project owner, membership gates all access"
9,Project Shell (single-user),2,Project entity,"The core domain object. Fields: address (street, postcode, city), bouwwerk type (woning/bedrijfspand/anders), gevolgklasse (hardcoded to 'gk1' for MVP), planned start date, expected oplevering date, current status (draft/active/completed/archived), and a free-text project description. Soft-delete only — never hard delete. Index on address fields and status for fast list queries. Status drives the deadline tracker logic later, so model it carefully.",P0,1,6,"User creates, edits, and archives a project; soft-deleted projects are hidden from lists but recoverable via admin.",Done,"Added neutral-coded fields: building_type (dwelling/commercial/other), consequence_class (Eurocode cc1/cc2/cc3), planned_start_date. Dutch labels (Woning/Bedrijfspand/Anders, Gevolgklasse 1/2/3) registered in jurisdictions/nl.py and exposed via GET /jurisdictions per NL-first/EU-ready policy. allowed_consequence_classes=('cc1',) gates CC2/CC3 server-side for NL (Wkb scope). Wizard StepDetails renders dropdowns; CC2/CC3 shown as disabled with 'buiten huidige scope' suffix. Alembic d3f8e9c1b2a4 (idempotent CREATE TYPE + clean down-revision). Live-verified via preview: POST 201 round-trips neutral codes, invalid 'warehouse' returns 422 enum, cc2 on NL returns 422 CONSEQUENCE_CLASS_OUT_OF_SCOPE.",Kwaliteitsborger + Aannemer,Either can create a project; both see project details,P0-AN,Phase 1,Aannemer creates projects — this is THEIR entry point
10,Project Shell (single-user),2,Instrument dropdown (hardcoded),"Hardcode a list of currently toegelaten instrumenten from the TloKB register: KiK, TIS Kwaliteitsborger Wkb, WKI-GK1, ADP-Bouwkwaliteit, etc. Store as a static enum or seed table — DO NOT scrape the TloKB register in MVP. The list changes maybe twice per year; manual update is fine. Show instrument name, instrumentaanbieder, and a link to the official methodology. The selected instrument drives template choices for risicobeoordeling and borgingsplan downstream.",P0,0.5,9,User selects an instrument when creating a project; selection is saved and shown on project detail page; updating the hardcoded list is documented in README.,Done,"[AANNEMER PIVOT] instrument_id made visually optional — dropdown shows 'Not yet known — KB will select' placeholder + hint text. Schema/API already accept null. Bilingual placeholder (nl: 'Nog niet bekend — wordt ingevuld door KB', en: 'Not yet known — KB will select') + hint text in messages/*.json. StepDetails.tsx renders optional dropdown with instrumentHint below. || Original: NL_INSTRUMENTS tuple in apps/api/src/bimstitch_api/jurisdictions/nl.py (KiK, TIS Kwaliteitsborger Wkb, WKI-GK1, ADP-Bouwkwaliteit) — last reviewed 2026-05-18. Exposed via GET /jurisdictions (instruments[] with id/name/provider/methodology_url). Project.instrument_id String(64) column on the model; ProjectCreate/Update accept it; routers/projects.py::_validate_instrument enforces it via find_instrument(country, id) and returns 422 INSTRUMENT_NOT_REGISTERED. Portal wizard StepDetails renders dropdown with provider · methodology link to tlokb.nl; useWizardOptions overlays localized labels from /jurisdictions. ProjectDetailHeader shows selected instrument as ⚖ {name} linking to methodology_url with provider in title attr. Update cadence documented in apps/api/src/bimstitch_api/jurisdictions/README.md (Updating toegelaten instrumenten section). Tests: test_create_project_with_instrument_id_round_trips, test_create_project_rejects_unknown_instrument_id, test_patch_project_instrument_id_validated, test_jurisdictions_endpoint_exposes_nl_instruments in apps/api/tests/test_projects.py. Live-verified via preview: PATCH instrument_id='tis-kwaliteitsborger-wkb' on a project, detail header renders 'TIS Kwaliteitsborger Wkb' → tlokb.nl with title 'Toegelaten instrument · SWK'.",Kwaliteitsborger,KB selects their certified instrument per project; Aannemer sees it read-only,P1-AN,Phase 3,Aannemer sees which instrument the KB uses; not needed until KB joins. Can default to 'KB will select'.
12,Project Shell (single-user),2,Project list & detail UI,"List view with search, filter by status, and sort by start date. Show address, gevolgklasse, days-to-next-deadline, and status pill. Detail page is tabbed: Overview / Borgingsplan / Inspecties / Bevindingen / Documenten / Rapporten. Use empty states with calls-to-action ('No inspections yet — create your first borgingsmoment'). The detail page is where users live for hours per project, so spend extra time on information density without clutter.",P0,1,9,User sees only projects they're a member of; clicks into detail page; tabs render placeholder content; empty states guide next action.,Done,"[AANNEMER PIVOT] Tabs reordered: Overzicht → Documenten → Bevindingen → Modellen. Borgingsplan + Inspecties tabs removed from RightColumnTabs.tsx (components retained for future KB re-add). OverzichtTab absorbs deadline content. ComplianceByDomainCard no longer imported. RightColumnTabs now imports only OverzichtTab, AttachmentsTab, BevindingenTab, ModelsTab. || Original: List: ProjectList/ProjectCard with status pill, address, ProjectFormDialog wizard, archive/reactivate. Detail: ProjectDetailHeader + ComplianceHealthCard + ComplianceByDomainCard + RightColumnTabs. All six tabs wired in RightColumnTabs.tsx: Models, Borgingsplan (RiskAssessmentSection + BorgingsplanSection — real domain content), Inspecties / Bevindingen / Documenten (EmptyState placeholders gated on future Risk/Finding/Document tables), Rapporten.",Kwaliteitsborger + Aannemer,"Both navigate projects — KB sees inspection focus, Aannemer sees deadline/finding focus",P0-AN,Phase 1,"Aannemer navigates projects, sees deadlines and dossier status on detail page"
13,Wkb Planning,3,Risicobeoordeling data model,"A Risk record has: project_id, category (enum from Bbl: constructieve veiligheid, brandveiligheid, gezondheid, energiezuinigheid, bruikbaarheid), level (laag/midden/hoog), description, mitigation measure, responsible party (free text in MVP, FK to user later), and an optional Bbl article reference. Risks roll up into the borgingsplan — high-level risks generate more inspection moments. Index on (project_id, category, level) for fast filtering. Audit log every change because the risicobeoordeling is legally significant evidence.",P0,1,9,Schema migrations apply; CRUD APIs expose risks per project; risk changes appear in audit log.,Done,"models/risk.py (RiskCategory/RiskLevel enums, full fields), routers/risks.py (137-line CRUD with require_permission gates), schemas/risk.py (Create/Update/Read), migration b7c4e2f9d8a1 + RLS policy, 19 tests in test_risks.py covering enum validation + RLS isolation + role gates + cascade. Resource.risk in permission matrix. Audit-log entries deferred to #36 wiring.",Kwaliteitsborger,KB creates and owns the risicobeoordeling; Aannemer can view but not edit,KB-only,KB Layer,Aannemer does not create risks. Views the KB's risicobeoordeling if KB is in the system.
