"ID","Pillar","Title","Primary Keyword","Secondary Keywords","Funnel Stage","Item Type","Audience","Language","Roadmap-Dependent","Description"
"1","Wkb filings","Dossier bevoegd gezag bij gereedmelding: de complete checklist voor gevolgklasse 1","dossier bevoegd gezag","gereedmelding dossier; dossier bevoegd gezag inhoud; wkb opleverdossier eisen","BoFu","How-to","Aannemer","NL","N","Bij gereedmelding moet het dossier bevoegd gezag compleet zijn - inclusief verklaring kwaliteitsborger en bewijslast per borgingsmoment - en een onvolledig dossier blokkeert de ingebruikname van het bouwwerk. BimDossier hanteert een dossier-readiness checklist per bouwwerktype met %-completie-gating, en genereert de verklaring kwaliteitsborger en de dossier-bevoegd-gezag-PDF automatisch, zodat je bij gereedmelding direct een indienbaar pakket hebt."
"2","BBL technical","Van Bouwbesluit naar BBL: wat er veranderde en waar je de eisen nu vindt","bouwbesluit vs bbl","besluit bouwwerken leefomgeving; bbl uitleg; omgevingswet bouweisen","ToFu","Educational","Architect","NL","N","Veel professionals zoeken nog op ‘Bouwbesluit’ terwijl de eisen sinds de Omgevingswet in het BBL staan. Deze gids overbrugt de oude en nieuwe term en wijst de weg naar de actuele eisen. BimDossier toetst die BBL-eisen model-based: rulepacks per framework draaien over het IFC-model en geven overtredingen per element. Feature: BBL/Wkb-compliance-engine."
"3","Wkb filings","Wkb compliance vs. snagging-software: waarom een 3D IFC-viewer het verschil maakt in je opleverdossier","wkb software","kwaliteitsborging software; ifc viewer wkb; snagging software wkb dossier","BoFu","Comparison","BIM-manager","NL","N","Klassieke snagging-tools pinnen bevindingen op een 2D-tekening, maar koppelen die niet aan het BIM-model of aan de Wkb-bewijslast - waardoor het opleverdossier losse foto's blijft zonder modelcontext. BimDossier verankert elke bevinding via global_id aan het IFC-element in een federated 3D-viewer (storey-isolatie, sectievlakken, floor-plan split view) én voedt diezelfde bevindingen in de borgingsplan- en dossier-checklist, zodat veldcontrole en compliance-dossier één geheel zijn in plaats van twee systemen."
"4","openBIM literacy","Importing IFC from Revit, Archicad and Tekla: getting clean models into a federated viewer","import ifc revit archicad","ifc export settings; bimcollab ifc; federated ifc import; ifc interoperability","MoFu","How-to","BIM-manager","EN","N","Before adopting any platform, BIM managers ask whether their IFC exports from Revit, Archicad or Tekla will load cleanly. This guide covers export settings and common import pitfalls. BimDossier ingests standard IFC (and .ifcZIP), detects the schema on upload, and federates multi-discipline models from any authoring tool into one viewer scene. Feature: IFC extraction pipeline + federated 3D viewer."
"5","PDF<->IFC docs","Mobiel snaggen op de bouwplaats met het model in je broekzak: PDF-tekening en IFC samen op je telefoon","mobiel snaggen bouwplaats bim","snagging app ifc viewer; bevindingen vastleggen mobiel; mobiele inspectie bouw wkb","MoFu","Problem->Solution","Kwaliteitsborger","NL","N","Inspecteurs lopen rond met een papieren of PDF-tekening en noteren bevindingen die later moeizaam aan het model en aan een Wkb-borgingsmoment moeten worden gekoppeld. BimDossier biedt een mobiele inspectie-app (RN/Expo) met de embedded 3D-viewer, zodat je on-site een bevinding direct aan het juiste IFC-element prikt met foto-bewijs en severity. Offline-first sync is de volgende stap die we bouwen voor plekken zonder dekking; vandaag staat de bevinding meteen in hetzelfde dossierspoor als je 2D-tekeningen."
"6","Ops & digital","Digitalisering van kwaliteitsborging: van papieren keuringslijsten naar een live dossier bevoegd gezag","digitalisering kwaliteitsborging bouw","papierloos werken bouwproject; digitaal kwaliteitsdossier; kwaliteitsborging proces digitaliseren; opleverdossier digitaal","MoFu","Problem->Solution","Aannemer","NL","N","Veel aannemers houden kwaliteitsborging nog bij in losse Excel-keuringslijsten en mappen met foto's, waardoor het samenstellen van het dossier bevoegd gezag aan het eind van het project handwerk en gokwerk is. BimDossier maakt het proces papierloos met een dossier-gereedheids-checklist (template per gebouwtype/jurisdictie) die met een voltooiingspercentage stuurt op wat nog ontbreekt, gevoed door bevindingen, certificaten en automatisch gegenereerde compliance-PDF's. Specifieke feature: dossier readiness checklist met %-gating + auto-gegenereerde rapport-PDF's."
"7","Quantity takeoff","Garbage in, garbage out: 7 modelfouten die je IFC quantity takeoff onbruikbaar maken","ifc quantity takeoff","model data quality ifc; slechte ifc export hoeveelheden; ontbrekende property sets; fouten ifc takeoff","MoFu","Problem->Solution","BIM-manager","NL","Y","Een takeoff op een slecht model levert verkeerde hoeveelheden: ontbrekende base quantities, elementen die alleen in IfcRelAggregates zitten en niet in de ruimtelijke structuur, of objecten zonder GlobalId vallen stilletjes weg. BimDossier maakt deze gaten zichtbaar omdat de extractie zowel containment (IfcRelContainedInSpatialStructure) als decomposed parts via aggregatie meeneemt en per element toont welke psets en quantities wel/niet aanwezig zijn, plus elementtellingen per IFC-klasse. De feature: de extractiepijplijn met element counts + het properties-paneel dat ontbrekende sets per element blootlegt."
"8","Wkb filings","Bouwmelding en gereedmelding indienen via het Omgevingsloket: stap voor stap","bouwmelding omgevingsloket","gereedmelding indienen; omgevingsloket wkb; melding omgevingswet bouw","MoFu","How-to","Aannemer","NL","N","De bouw- en gereedmelding worden via het Omgevingsloket ingediend, maar de procedure en de juiste bijlagen laten veel aannemers struikelen. Deze how-to loopt de indiening na. BimDossier levert het indienbare pakket: een dossier-readiness checklist die de vereiste documenten per melding bewaakt en auto-gegenereerde PDF’s (borgingsplan, verklaring kwaliteitsborger, dossier bevoegd gezag). Feature: dossier-checklist + auto-PDF + deadline tracker."
"9","Dossier & handover","Het dossier bevoegd gezag opbouwen vanuit je IFC-model in plaats van losse mappen","dossier bevoegd gezag opbouwen uit ifc","dossier bevoegd gezag samenstellen; BIM opleverdossier; IFC dossier Wkb; dossier bevoegd gezag inhoud","BoFu","Problem->Solution","BIM-manager","NL","N","BIM-managers leveren rijke IFC-modellen op, maar het dossier bevoegd gezag wordt nog steeds met de hand samengesteld uit losse tekeningen en exports, los van het model. Dit artikel laat zien hoe BimDossier het dossier koppelt aan de bron: bevindingen en bewijs zijn via global_id verankerd aan IFC-elementen in de 3D-viewer en stromen samen met de dossier-checklist tot een traceerbaar, modelgebaseerd dossier bevoegd gezag."
"10","BIM for QA","Welke IFC-data heeft een kwaliteitsborger nodig? Een IDS-praktijkgids voor Wkb-klaar modelleren","ifc data kwaliteitsborging","ids information delivery specification wkb; ifc modelleereisen borging; model validation wkb; classificatie nl-sfb borging","ToFu","Educational","BIM-manager","Both","N","De uitdaging: BIM-managers leveren rijke IFC-modellen aan, maar weten niet welke properties, classificatie (NL/SfB, Uniclass) en datakwaliteit een kwaliteitsborger nodig heeft om model-based te kunnen borgen — met half-bruikbare modellen als gevolg. Dit legt uit hoe je via IDS (Information Delivery Specification) modelleereisen vastlegt zodat elementen koppelbaar zijn aan risico's en borgingsmomenten. BimDossier consumeert die IFC-modellen in de 3D-viewer en verankert bevindingen op global_id, dus een IDS-conform model maakt de borging direct uitvoerbaar in plaats van een handmatige opschoonslag."
